"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2018","139.79","139.95","140.11","139.34","2.28M","-0.60%"
"05/14/2018","140.64","140.94","141.30","140.39","1.40M","0.05%"
"05/11/2018","140.57","140.41","140.87","140.05","1.20M","0.20%"
"05/10/2018","140.29","139.51","140.54","139.44","1.81M","0.87%"
"05/09/2018","139.08","138.20","139.27","137.90","1.45M","0.94%"
"05/08/2018","137.78","137.59","138.01","136.98","1.36M","0.04%"
"05/07/2018","137.73","137.65","138.31","137.38","1.45M","0.44%"
"05/04/2018","137.13","134.97","137.56","134.64","2.38M","1.29%"
"05/03/2018","135.38","135.19","135.80","133.66","2.64M","-0.27%"
"05/02/2018","135.75","136.46","136.97","135.54","1.66M","-0.58%"
"05/01/2018","136.54","136.04","136.60","135.12","1.76M","0.15%"
"04/30/2018","136.33","137.69","137.99","136.25","2.28M","-0.73%"
"04/27/2018","137.33","137.54","137.74","136.80","1.13M","0.07%"
"04/26/2018","137.24","136.52","137.68","136.25","1.28M","0.95%"
"04/25/2018","135.95","135.77","136.25","134.61","2.28M","0.11%"
"04/24/2018","135.80","138.10","138.19","134.86","3.05M","-1.20%"
"04/23/2018","137.45","137.78","138.16","136.81","2.03M","-0.04%"
"04/20/2018","137.50","138.56","138.67","137.03","1.67M","-0.79%"
"04/19/2018","138.60","138.98","139.18","138.02","4.00M","-0.55%"
"04/18/2018","139.36","139.54","139.85","139.09","1.55M","0.14%"
"04/17/2018","139.17","138.73","139.53","138.43","2.22M","1.05%"
"04/16/2018","137.72","137.54","138.15","136.97","2.89M","0.83%"
"04/13/2018","136.58","137.72","137.75","136.01","2.19M","-0.28%"
"04/12/2018","136.97","136.73","137.53","136.51","1.86M","0.81%"
"04/11/2018","135.87","135.67","136.83","135.40","2.06M","-0.46%"
"04/10/2018","136.50","136.00","136.97","135.46","2.15M","1.62%"
"04/09/2018","134.32","134.72","136.30","134.16","2.24M","0.34%"
"04/06/2018","133.87","135.73","136.54","132.92","4.94M","-2.10%"
"04/05/2018","136.74","136.65","137.23","136.11","2.68M","0.70%"
"04/04/2018","135.79","132.19","136.10","132.10","2.93M","1.12%"
"04/03/2018","134.28","133.35","134.54","132.35","3.74M","1.24%"
"04/02/2018","132.63","135.29","135.57","131.26","5.70M","-2.28%"
"03/29/2018","135.72","134.49","136.59","134.16","2.35M","1.37%"
"03/28/2018","133.88","134.36","135.19","133.23","4.74M","-0.23%"
"03/27/2018","134.19","137.18","137.31","133.43","3.31M","-1.77%"
"03/26/2018","136.61","135.09","136.73","133.76","3.86M","2.64%"
"03/23/2018","133.10","136.13","136.65","133.03","5.70M","-2.10%"
"03/22/2018","135.95","138.15","138.61","135.85","3.13M","-2.84%"
"03/21/2018","139.93","140.05","141.24","139.78","2.11M","-0.09%"
"03/20/2018","140.05","140.00","140.42","139.66","1.67M","0.15%"
"03/19/2018","139.84","141.16","141.40","138.86","3.15M","-1.28%"
"03/16/2018","141.66","141.58","142.19","141.58","2.64M","0.17%"
"03/15/2018","141.42","141.96","142.22","141.11","1.93M","-0.13%"
"03/14/2018","141.61","142.90","142.99","141.35","2.10M","-0.51%"
"03/13/2018","142.33","143.86","144.14","142.01","2.08M","-0.62%"
"03/12/2018","143.22","143.49","143.85","142.96","2.00M","-0.06%"
"03/09/2018","143.30","141.79","143.30","141.55","2.33M","1.66%"
"03/08/2018","140.96","140.83","141.03","140.11","2.31M","0.38%"
"03/07/2018","140.43","139.05","140.61","138.97","2.57M","0.09%"
"03/06/2018","140.31","140.36","140.61","139.32","2.79M","0.36%"
"03/05/2018","139.80","137.55","140.15","137.50","2.92M","1.13%"
"03/02/2018","138.24","136.28","138.51","135.83","3.02M","0.65%"
"03/01/2018","137.35","139.07","139.88","136.40","4.85M","-1.19%"
"02/28/2018","139.00","141.18","141.40","138.97","2.29M","-1.10%"
"02/27/2018","140.55","142.41","142.86","140.55","2.31M","-1.26%"
"02/26/2018","142.34","141.50","142.41","141.04","1.77M","1.05%"
